Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,200.3,-215.7,180.0,bottom
C2,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,200.4,-200.375,180.0,bottom
C3,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,200.4825,-167.425,180.0,bottom
C4,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,200.435,-152.15,180.0,bottom
C5,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,200.3175,-213.8975,0.0,bottom
C6,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,200.4,-198.6625,0.0,bottom
C7,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,200.43,-165.7,0.0,bottom
C71,1uf,CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder,206.775,-183.325,180.0,top
C72,10nf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,205.9275,-185.05,180.0,top
C73,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,200.7275,-183.975,0.0,bottom
C8,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,200.3175,-150.35,0.0,bottom
D1,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-222.3775,180.0,top
D10,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-199.525,180.0,top
D11,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-197.0,180.0,top
D12,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-194.5,180.0,top
D13,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-191.925,180.0,top
D14,WHITE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-189.325,180.0,top
D15,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-186.825,180.0,top
D17,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-181.75,180.0,top
D18,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-179.25,180.0,top
D19,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-176.625,180.0,top
D2,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-219.825,180.0,top
D20,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-174.125,180.0,top
D21,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-171.625,180.0,top
D22,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-169.0,180.0,top
D23,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-166.525,180.0,top
D24,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-163.925,180.0,top
D25,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-161.425,180.0,top
D26,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-158.925,180.0,top
D27,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-156.325,180.0,top
D28,BLUE,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-153.825,180.0,top
D29,GREEN,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-151.325,180.0,top
D3,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-217.325,180.0,top
D30,GREEN,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-148.725,180.0,top
D31,GREEN,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-146.225,180.0,top
D32,GREEN,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,215.75,-143.625,180.0,top
D33,GREEN,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-143.625,0.0,top
D34,GREEN,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-146.25,0.0,top
D35,GREEN,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-148.725,0.0,top
D36,GREEN,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-151.325,0.0,top
D37,GREEN,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-153.825,0.0,top
D38,GREEN,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-156.325,0.0,top
D39,GREEN,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,185.75,-158.925,0.0,top
